raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000013577700787600,25714325100,2.000000,1237810,1.000000,2,-0.457154,0.153434,0.876053,-0.029724,0.000000,0.000000,-0.427121,0.171558,-0.801278,0.171289,-0.457154,0.153434,0.876053,-0.029724,0.000000,0.000000,0.237549,2,-0.427121,0.171558,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235234,0,-0.165948,0.000004
1000013577710783700,25724321200,2.000000,1237811,1.000000,2,-0.457116,0.153448,0.876070,-0.029724,0.000000,0.000000,-0.427061,0.171571,-0.801218,0.171301,-0.457116,0.153448,0.876070,-0.029724,0.000000,0.000000,0.237349,2,-0.427061,0.171571,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235507,0,-0.165948,0.000004
1000013577720831400,25734368900,2.000000,1237812,1.000000,2,-0.457182,0.153407,0.876043,-0.029724,0.000000,0.000000,-0.427164,0.171529,-0.801322,0.171260,-0.457182,0.153407,0.876043,-0.029724,0.000000,0.000000,0.237201,2,-0.427164,0.171529,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235466,0,-0.165948,0.000004
1000013577730925800,25744463300,2.000000,1237813,1.000000,2,-0.457328,0.153377,0.875972,-0.029724,0.000000,0.000000,-0.427401,0.171509,-0.801562,0.171240,-0.457328,0.153377,0.875972,-0.029724,0.000000,0.000000,0.236994,2,-0.427401,0.171509,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235412,0,-0.165948,0.000004
1000013577740907500,25754445000,2.000000,1237814,1.000000,2,-0.457324,0.153444,0.875962,-0.029724,0.000000,0.000000,-0.427401,0.171587,-0.801563,0.171317,-0.457324,0.153444,0.875962,-0.029724,0.000000,0.000000,0.237703,2,-0.427401,0.171587,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235522,0,-0.165948,0.000004
1000013577750897900,25764435400,2.000000,1237815,1.000000,2,-0.457410,0.153435,0.875919,-0.029724,0.000000,0.000000,-0.427541,0.171585,-0.801705,0.171315,-0.457410,0.153435,0.875919,-0.029724,0.000000,0.000000,0.237220,2,-0.427541,0.171585,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235370,0,-0.165948,0.000004
1000013577760901900,25774439400,2.000000,1237816,1.000000,2,-0.457445,0.153422,0.875903,-0.029724,0.000000,0.000000,-0.427597,0.171573,-0.801762,0.171304,-0.457445,0.153422,0.875903,-0.029724,0.000000,0.000000,0.236784,2,-0.427597,0.171573,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235784,0,-0.165948,0.000004
1000013577770887100,25784424600,2.000000,1237817,1.000000,2,-0.457400,0.153517,0.875910,-0.029724,0.000000,0.000000,-0.427534,0.171677,-0.801699,0.171408,-0.457400,0.153517,0.875910,-0.029724,0.000000,0.000000,0.237198,2,-0.427534,0.171677,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235789,0,-0.165948,0.000004
1000013577780896700,25794434200,2.000000,1237818,1.000000,2,-0.457424,0.153614,0.875880,-0.029724,0.000000,0.000000,-0.427585,0.171792,-0.801752,0.171522,-0.457424,0.153614,0.875880,-0.029724,0.000000,0.000000,0.237902,2,-0.427585,0.171792,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.235529,0,-0.165948,0.000004
1000013577791038800,25804576300,2.000000,1237819,1.000000,2,-0.457354,0.153699,0.875902,-0.029724,0.000000,0.000000,-0.427480,0.171882,-0.801646,0.171612,-0.457354,0.153699,0.875902,-0.029724,0.000000,0.000000,0.237760,2,-0.427480,0.171882,0.000000,0.000000,0.000000,0.029724,0.000000,0.000000,0.236802,0,-0.165948,0.000004
