Frame;CaptureTime;LogTime;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
45975;1E+18;6,37486E+13;VALID;0,03260362;-0,07309244;0,9967921;1,873394;-4,19386;0,126187578;VALID;0,004175908;-0,06448307;0,9979101;0,2397616;-3,697205;0,127643943;2;1
45976;1E+18;6,37486E+13;VALID;0,03258247;-0,07311004;0,9967915;1,87218;-4,194869;0,12621817;VALID;0,00439082;-0,06453776;0,9979056;0,2521018;-3,700348;0,12722756;2;1
45977;1E+18;6,37486E+13;VALID;0,03643325;-0,07320809;0,996651;2,093554;-4,201064;0,12590161;VALID;0,01239469;-0,06440257;0,997847;0,7116588;-3,692835;0,129114196;2;1
45978;1E+18;6,37486E+13;VALID;0,05357875;-0,0733428;0,9958665;3,079609;-4,21207;0,124716781;VALID;0,03783816;-0,06425085;0,9972162;2,172976;-3,686484;0,131402686;2;0,818319857
45979;1E+18;6,37486E+13;VALID;0,101239;-0,07376499;0,9921237;5,826452;-4,252152;0,127794012;VALID;0,08663557;-0,06419861;0,9941694;4,980382;-3,694752;0,129271343;2;0,129787475
45980;1E+18;6,37486E+13;VALID;0,1665638;-0,07357527;0,9832819;9,614397;-4,279253;0,132502988;VALID;0,1648585;-0,06424741;0,9842225;9,508842;-3,734816;0,130356491;2;0
45981;1E+18;6,37486E+13;VALID;0,250835;-0,07147335;0,9653877;14,565;-4,23422;0,131836772;VALID;0,241494;-0,06500565;0,9682226;14,00496;-3,841026;0,131877169;2;0
45982;1E+18;6,37486E+13;VALID;0,3662192;-0,06275181;0,9284103;21,52717;-3,866775;0,133203268;VALID;0,3100168;-0,06703495;0,9483649;18,10237;-4,043214;0,137036338;0,93675667;0
45983;1E+18;6,37486E+13;INVALID;;;;0;0;;VALID;0,3673587;-0,07013609;0,9274311;21,60869;-4,324707;0,131181628;2;0
45984;1E+18;6,37486E+13;VALID;0,4724433;-0,1294143;0,8718081;28,4538;-8,443533;0,134585291;VALID;0,4039697;-0,07435717;0,9117453;23,89684;-4,662425;0,131288901;0,437733382;0
45985;1E+18;6,37486E+13;VALID;0,4809286;-0,1087247;0,8699923;28,93366;-7,123435;0,134352893;VALID;0,415473;-0,07796845;0,9062577;24,62904;-4,917243;0,131054461;0,595683336;0
45986;1E+18;6,37486E+13;VALID;0,4849434;-0,08737798;0,8701695;29,13082;-5,734128;0,134041011;VALID;0,4214013;-0,08161823;0,903194;25,01225;-5,163579;0,130906537;0,733474731;0
45987;1E+18;6,37486E+13;VALID;0,4880532;-0,07096822;0,8699239;29,29372;-4,66385;0,133803606;VALID;0,4243728;-0,08450204;0,901536;25,2074;-5,354757;0,130426615;0,724357188;0
45988;1E+18;6,37486E+13;VALID;0,4891998;-0,05976203;0,8701218;29,34556;-3,92904;0,133374736;VALID;0,425352;-0,08680711;0,9008552;25,27502;-5,504072;0,130670711;0,661220491;0
45989;1E+18;6,37486E+13;VALID;0,4903012;-0,05283167;0,8699503;29,40547;-3,475278;0,133491173;VALID;0,4260562;-0,08866386;0,9003415;25,32427;-5,624241;0,130188987;0,604115844;0
45990;1E+18;6,37486E+13;VALID;0,4912825;-0,04858375;0,8696442;29,46313;-3,197576;0,132871285;VALID;0,4267755;-0,09008039;0,8998601;25,37353;-5,716543;0,130481213;0,565389395;0
45991;1E+18;6,37486E+13;VALID;0,491991;-0,04572501;0,8693987;29,50543;-3,010631;0,133437991;VALID;0,4266956;-0,09106959;0,8997984;25,37089;-5,779289;0,130128071;0,536903203;0
45992;1E+18;6,37486E+13;VALID;0,4922202;-0,04383599;0,8693662;29,51779;-2,886576;0,133290097;VALID;0,4264214;-0,0915443;0,8998802;25,35462;-5,808684;0,129851803;0,519996226;0
45993;1E+18;6,37486E+13;VALID;0,4925737;-0,04270139;0,8692225;29,5395;-2,812449;0,133278996;VALID;0,426189;-0,09189092;0,899955;25,34069;-5,830045;0,129190966;0,508789957;0
45994;1E+18;6,37486E+13;VALID;0,4930176;-0,04191162;0,8690093;29,56767;-2,76119;0,132765993;VALID;0,4263583;-0,09229396;0,8998336;25,35248;-5,856224;0,129830331;0,500517488;0
45995;1E+18;6,37486E+13;VALID;0,4932288;-0,04160502;0,8689041;29,58118;-2,741353;0,132690459;VALID;0,4265074;-0,09278733;0,8997121;25,36323;-5,888099;0,129441708;0,4954485;0
45996;1E+18;6,37486E+13;VALID;0,4936455;-0,04131393;0,8686813;29,60827;-2,722899;0,13231951;VALID;0,4266748;-0,09306381;0,8996042;25,3746;-5,906223;0,1298251;0,491239816;0
45997;1E+18;6,37486E+13;VALID;0,4941174;-0,04122546;0,8684172;29,63928;-2,717902;0,132336244;VALID;0,4264557;-0,09322802;0,8996911;25,36106;-5,916004;0,128838629;0,487823397;0
45998;1E+18;6,37486E+13;VALID;0,4942993;-0,04106152;0,8683215;29,65106;-2,707408;0,1326662;VALID;0,4265754;-0,09336362;0,8996203;25,36903;-5,92501;0,128949195;0,485844761;0
45999;1E+18;6,37486E+13;VALID;0,4945826;-0,04097541;0,8681642;29,66964;-2,702228;0,132222161;VALID;0,4267257;-0,09348858;0,899536;25,37893;-5,933436;0,128562823;0,484187275;0
46000;1E+18;6,37486E+13;VALID;0,4949072;-0,04092311;0,8679817;29,69099;-2,69935;0,132189006;VALID;0,426479;-0,09353852;0,8996478;25,36334;-5,93585;0,129342467;0,482067853;0
46001;1E+18;6,37486E+13;VALID;0,4952974;-0,04071793;0,8677687;29,71648;-2,686494;0,132444605;VALID;0,4263734;-0,09366572;0,8996847;25,35694;-5,943623;0,128945202;0,478809267;0
46002;1E+18;6,37486E+13;VALID;0,4959162;-0,0403261;0,8674335;29,75682;-2,661706;0,13235794;VALID;0,4275512;-0,09357006;0,8991355;25,43173;-5,941197;0,128915071;0,478215814;0
46003;1E+18;6,37486E+13;VALID;0,4975128;-0,03957517;0,8665534;29,86135;-2,61486;0,131905884;VALID;0,4297599;-0,09277987;0,8981639;25,57052;-5,897707;0,128467351;0,479190111;0,568904459
46004;1E+18;6,37486E+13;VALID;0,4990073;-0,03885903;0,8657261;29,95929;-2,570056;0,13147594;VALID;0,4315691;-0,09221067;0,8973546;25,68452;-5,867027;0,128106326;0,478428781;0,736469567
46005;1E+18;6,37486E+13;VALID;0,5000995;-0,03813802;0,8651277;30,03067;-2,524175;0,13161616;VALID;0,4328556;-0,09168626;0,8967885;25,76535;-5,837548;0,128104106;0,477227509;0,862417579
46006;1E+18;6,37486E+13;VALID;0,5010958;-0,03745472;0,8645809;30,09582;-2,480573;0,131558761;VALID;0,4344768;-0,09133089;0,8960405;25,86806;-5,819899;0,127941415;0,476264954;0,94735074
46007;1E+18;6,37486E+13;VALID;0,5019825;-0,03697743;0,864087;30,15401;-2,4504;0,131348684;VALID;0,4354334;-0,09086725;0,8956232;25,92806;-5,793235;0,127825588;0,475937575;0,996810555
46008;1E+18;6,37486E+13;VALID;0,5026834;-0,03657493;0,8636965;30,2;-2,424854;0,130852968;VALID;0,4358332;-0,09045842;0,8954701;25,9526;-5,768326;0,127618268;0,474978417;1
46009;1E+18;6,37486E+13;VALID;0,5033728;-0,03629293;0,8633068;30,24541;-2,407265;0,130780295;VALID;0,4363408;-0,09015253;0,8952537;25,9843;-5,750331;0,127760679;0,47441107;1
46010;1E+18;6,37486E+13;VALID;0,5038431;-0,03602621;0,8630435;30,2763;-2,390322;0,130737707;VALID;0,4369974;-0,0898185;0,894967;26,02548;-5,73099;0,128317997;0,474996239;1
46011;1E+18;6,37486E+13;VALID;0,5042931;-0,03574954;0,8627922;30,30585;-2,372676;0,130121797;VALID;0,4375274;-0,08951571;0,8947384;26,05865;-5,713248;0,127676636;0,475111246;1
46012;1E+18;6,37486E+13;VALID;0,5048074;-0,0355114;0,8625013;30,33972;-2,357684;0,130079344;VALID;0,4378506;-0,0892;0,8946118;26,07855;-5,694031;0,127161637;0,47489503;1
46013;1E+18;6,37486E+13;VALID;0,5052229;-0,03530967;0,8622662;30,36708;-2,344943;0,129613027;VALID;0,4379472;-0,08903314;0,8945811;26,08432;-5,683643;0,126745433;0,473783851;1
46014;1E+18;6,37486E+13;VALID;0,5056438;-0,03516773;0,8620253;30,39489;-2,336179;0,129475608;VALID;0,4383317;-0,08891887;0,8944041;26,10866;-5,677512;0,126800299;0,473366857;1
46015;1E+18;6,37486E+13;VALID;0,5059211;-0,03503432;0,861868;30,41316;-2,327751;0,12961702;VALID;0,4386196;-0,08873296;0,8942814;26,12663;-5,666491;0,126169637;0,473562479;1
46016;1E+18;6,37486E+13;VALID;0,5062019;-0,03480129;0,8617126;30,43155;-2,312702;0,129015461;VALID;0,4388915;-0,08868336;0,8941529;26,14393;-5,664153;0,125899896;0,472358346;1
46017;1E+18;6,37486E+13;VALID;0,5064913;-0,03459044;0,8615509;30,45055;-2,299136;0,128796384;VALID;0,4388551;-0,08857632;0,8941814;26,14133;-5,657181;0,126136974;0,470893264;1
46018;1E+18;6,37486E+13;VALID;0,5067833;-0,03438055;0,8613876;30,46973;-2,285632;0,128945217;VALID;0,4389929;-0,08852173;0,8941192;26,15002;-5,654109;0,125769049;0,469533473;1
46019;1E+18;6,37486E+13;VALID;0,5070143;-0,0343446;0,8612531;30,48506;-2,283601;0,128712282;VALID;0,4390531;-0,0884909;0,8940927;26,1538;-5,652318;0,125818536;0,469033182;1
46020;1E+18;6,37486E+13;VALID;0,5072962;-0,03424392;0,8610911;30,50369;-2,277342;0,128257751;VALID;0,4390215;-0,08853968;0,8941033;26,15191;-5,655347;0,125529304;0,46738559;1
