Frame;CaptureTime;LogTime;HMDPosition_x;HMDPosition_y;HMDPosition_z;HMDRotation_x;HMDRotation_y;HMDRotation_z;HeadForward_x;HeadForward_y;HeadForward_z;seq;GazeStatus;CombinedGazeForward_x;CombinedGazeForward_y;CombinedGazeForward_z;CombinedGazePosition_x;CombinedGazePosition_y;CombinedGazePosition_z;GazeAngle_x;GazeAngle_y;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftEyePosition_x;LeftEyePosition_y;LeftEyePosition_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightEyePosition_x;RightEyePosition_y;RightEyePosition_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
37691;1000776376026493400;63748134137506;1,799844;1,21348;-0,417433;357,6527;22,77274;0,3508648;0,3867522;0,3867522;0,3867522;0;VALID;0,04329292;-0,07174705;0,9964828;0;0;0;2,487693;-4,118206;VALID;0,03882105;-0,06491565;0,9971353;-0,03112125;0;0;2,229546;-3,724822;0,1673404276371;VALID;0,0477619;-0,07857364;0,9957635;0,03112125;0;0;2,746093;-4,511743;0,187245398759842;2;1
37692;1000776376036502600;63748134137507;1,799844;1,21348;-0,417433;357,6527;22,77274;0,3508648;0,3867522;0,3867522;0,3867522;0;VALID;0,03791109;-0,06785746;0,9969745;0;0;0;2,177688;-3,893739;VALID;0,0337984;-0,06143485;0,9975387;-0,03112125;0;0;1,940542;-3,524191;0,165618613362312;VALID;0,04202156;-0,07427611;0,996352;0,03112125;0;0;2,415042;-4,263403;0,188548251986504;2;1
37693;1000776376046482900;63748134137523;1,800275;1,213333;-0,4173514;357,7133;22,88634;0,3365244;0,3885947;0,3885947;0,3885947;0;VALID;0,02978192;-0,06011946;0,9977468;0;0;0;1,709724;-3,448201;VALID;0,02606363;-0,0544905;0,9981741;-0,03112125;0;0;1,495728;-3,124685;0,16538193821907;VALID;0,03349884;-0,06574567;0,9972739;0,03112125;0;0;1,923866;-3,771789;0,186210796236992;2;0,876967012882233
37694;1000776376056679800;63748134137539;1,800553;1,213327;-0,417188;357,7451;22,99887;0,3298406;0,3904103;0,3904103;0,3904103;0;VALID;0,02177137;-0,05028697;0,9984975;0;0;0;1,249086;-2,883131;VALID;0,01968049;-0,0450373;0,9987915;-0,03112125;0;0;1,128828;-2,581821;0,164472565054893;VALID;0,02386154;-0,05553504;0,9981716;0,03112125;0;0;1,369409;-3,184469;0,184816926717758;2;0,703556776046753
37695;1000776376066662700;63748134137540;1,800553;1,213327;-0,417188;357,7451;22,99887;0,3298406;0,3904103;0,3904103;0,3904103;0;VALID;0,01504826;-0,0423151;0,998991;0;0;0;0,8630071;-2,425476;VALID;0,01416831;-0,03670932;0,9992256;-0,03112125;0;0;0,8123593;-2,103973;0,164802685379982;VALID;0,01592771;-0,04791953;0,9987242;0,03112125;0;0;0,9136789;-2,746987;0,185060143470764;2;0,562346398830414
37696;1000776376076616700;63748134137557;1,800992;1,213194;-0,4171961;357,7562;23,11598;0,3292938;0,3922926;0,3922926;0,3922926;0;VALID;0,01024421;-0,03584349;0,9993049;0;0;0;0,5873379;-2,054229;VALID;0,01142465;-0,02969314;0,9994938;-0,03112125;0;0;0,6548873;-1,701653;0,164722979068756;VALID;0,009063371;-0,04199243;0,9990768;0,03112125;0;0;0,5197585;-2,406796;0,186018690466881;2;0,453913360834122
37697;1000776376086644700;63748134137557;1,800992;1,213194;-0,4171961;357,7562;23,11598;0,3292938;0,3922926;0,3922926;0,3922926;0;VALID;0,00630495;-0,03089312;0,9995028;0;0;0;0,361422;-1,770362;VALID;0,008636594;-0,02402391;0,9996741;-0,03112125;0;0;0,4949894;-1,376652;0,165600031614304;VALID;0,003972975;-0,0377607;0,9992789;0,03112125;0;0;0,2277978;-2,16406;0,185702085494995;2;0,367131412029266
37698;1000776376096616400;63748134137573;1,801369;1,213067;-0,417185;357,7491;23,23762;0,3489132;0,3942409;0,3942409;0,3942409;0;VALID;0,001604677;-0,02744931;0,9996219;0;0;0;0,09197593;-1,572929;VALID;0,006638644;-0,02001274;0,9997777;-0,03112125;0;0;0,3804453;-1,146747;0,165150687098503;VALID;-0,003429418;-0,03488367;0,9993855;0,03112125;0;0;-0,1966113;-1,999104;0,18465282022953;2;0,286980658769608
37699;1000776376106617300;63748134137589;1,801685;1,213091;-0,4171577;357,7284;23,34548;0,3491471;0,3959631;0,3959631;0,3959631;0;VALID;-0,0008800165;-0,02460383;0,9996969;0;0;0;-0,05043651;-1,409838;VALID;0,005319694;-0,01647014;0,9998502;-0,03112125;0;0;0,3048388;-0,9437254;0,165578246116638;VALID;-0,007079635;-0,03273494;0,999439;0,03112125;0;0;-0,4058541;-1,875956;0,184266552329063;2;0,237140566110611
37700;1000776376116735000;63748134137590;1,801685;1,213091;-0,4171577;357,7284;23,34548;0,3491471;0,3959631;0,3959631;0,3959631;0;VALID;-0,002400576;-0,02313578;0,9997295;0;0;0;-0,1375799;-1,325704;VALID;0,005097938;-0,01552376;0,9998665;-0,03112125;0;0;0,2921268;-0,8894932;0,16524001955986;VALID;-0,009898816;-0,03074515;0,9994782;0,03112125;0;0;-0,5674379;-1,761932;0,183738589286804;2;0,210524871945381
37701;1000776376126733700;63748134137607;1,801903;1,213247;-0,4168582;357,6948;23,4482;0,3279951;0,3975979;0,3975979;0,3975979;0;VALID;-0,003153374;-0,02177397;0,9997579;0;0;0;-0,1807182;-1,247661;VALID;0,005254382;-0,01429731;0,999884;-0,03112125;0;0;0,301086;-0,8192145;0,165693491697311;VALID;-0,01156073;-0,02924787;0,9995053;0,03112125;0;0;-0,6626794;-1,676131;0,183741018176079;2;0,191363140940666
37702;1000776376136786100;63748134137608;1,801903;1,213247;-0,4168582;357,6948;23,4482;0,3279951;0,3975979;0,3975979;0,3975979;0;VALID;-0,003574365;-0,02067243;0,9997799;0;0;0;-0,2048402;-1,184535;VALID;0,005432007;-0,01329744;0,9998968;-0,03112125;0;0;0,3112602;-0,7619206;0,165693491697311;VALID;-0,01258025;-0,02804462;0,9995275;0,03112125;0;0;-0,7210981;-1,607177;0,184067592024803;2;0,179506912827492
37703;1000776376146730000;63748134137624;1,802082;1,21327;-0,4168635;357,6369;23,52292;0,3048948;0,3987765;0,3987765;0,3987765;0;VALID;-0,004548495;-0,01949601;0,9997996;0;0;0;-0,26066;-1,117122;VALID;0,005581074;-0,01231076;0,9999086;-0,03112125;0;0;0,3197979;-0,7053836;0,165520116686821;VALID;-0,01467736;-0,02667826;0,9995363;0,03112125;0;0;-0,8412806;-1,528898;0,184944957494736;2;0,160008549690247
37705;1000776376166773400;63748134137641;1,802282;1,21335;-0,4168055;357,5835;23,59883;0,2766467;0,3999742;0,3999742;0,3999742;0;VALID;-0,006722322;-0,01820756;0,9998116;0;0;0;-0,3852274;-1,043298;VALID;0,005933367;-0,01094196;0,9999225;-0,03112125;0;0;0,3399792;-0,6269518;0,165666967630386;VALID;-0,01937658;-0,02546928;0,9994878;0,03112125;0;0;-1,110626;-1,459714;0,1854168176651;2;0,129803568124771
37706;1000776376176741600;63748134137657;1,802529;1,213448;-0,4168655;357,555;23,65337;0,2362857;0,4008373;0,4008373;0,4008373;0;VALID;-0,007630331;-0,01774222;0,9998135;0;0;0;-0,4372588;-1,016637;VALID;0,006189121;-0,01031767;0,9999276;-0,03112125;0;0;0,3546317;-0,591181;0,165782138705254;VALID;-0,02144791;-0,02516239;0,9994532;0,03112125;0;0;-1,229358;-1,442183;0,185019969940186;2;0,120801024138927
37707;1000776376186870200;63748134137657;1,802529;1,213448;-0,4168655;357,555;23,65337;0,2362857;0,4008373;0,4008373;0,4008373;0;VALID;-0,007694202;-0,01760894;0,9998153;0;0;0;-0,440918;-1,009;VALID;0,006223896;-0,009639915;0,9999341;-0,03112125;0;0;0,3566219;-0,5523457;0,165844053030014;VALID;-0,02161032;-0,02557344;0,9994394;0,03112125;0;0;-1,238682;-1,465752;0,186780586838722;2;0,126498013734818
37708;1000776376196866000;63748134137673;1,802767;1,213497;-0,4167502;357,515;23,71305;0,2095249;0,4017782;0,4017782;0,4017782;0;VALID;-0,008458083;-0,01760021;0,9998093;0;0;0;-0,4846933;-1,008506;VALID;0,00661006;-0,009411918;0,9999338;-0,03112125;0;0;0,3787481;-0,5392829;0,166645690798759;VALID;-0,02352374;-0,02578333;0,9993907;0,03112125;0;0;-1,348384;-1,477849;0,186397612094879;2;0,120409838855267
37709;1000776376206905500;63748134137690;1,80296;1,21356;-0,4169187;357,4829;23,75902;0,1856562;0,4025021;0,4025021;0,4025021;0;VALID;-0,008950011;-0,01769138;0,9998034;0;0;0;-0,512885;-1,013735;VALID;0,006921281;-0,009337402;0,9999325;-0,03112125;0;0;0,3965806;-0,5350143;0,166775077581406;VALID;-0,02481842;-0,02603966;0,9993528;0,03112125;0;0;-1,422619;-1,492591;0,185574412345886;2;0,120790891349316
37710;1000776376216917300;63748134137691;1,80296;1,21356;-0,4169187;357,4829;23,75902;0,1856562;0,4025021;0,4025021;0,4025021;0;VALID;-0,009618402;-0,01782732;0,9997948;0;0;0;-0,5511899;-1,021532;VALID;0,006916174;-0,009234231;0,9999334;-0,03112125;0;0;0,3962876;-0,5291026;0,166656255722046;VALID;-0,02614964;-0,02641422;0,999309;0,03112125;0;0;-1,498958;-1,514117;0,185270056128502;2;0,145954430103302
37711;1000776376226860100;63748134137706;1,803055;1,213666;-0,4168806;357,4465;23,79967;0,1733647;0,4031394;0,4031394;0,4031394;0;VALID;-0,01018988;-0,01802895;0,9997855;0;0;0;-0,5839419;-1,033092;VALID;0,006998616;-0,009284081;0,9999324;-0,03112125;0;0;0,4010117;-0,5319594;0,166858062148094;VALID;-0,02737458;-0,02676712;0,9992668;0,03112125;0;0;-1,569206;-1,534401;0,184818968176842;2;0,232648327946663
37712;1000776376236920800;63748134137707;1,803055;1,213666;-0,4168806;357,4465;23,79967;0,1733647;0,4031394;0,4031394;0,4031394;0;VALID;-0,01107318;-0,01801845;0,9997764;0;0;0;-0,6345626;-1,0325;VALID;0,007031463;-0,009238039;0,9999326;-0,03112125;0;0;0,4028937;-0,5293213;0,166483119130135;VALID;-0,02917334;-0,02679156;0,9992152;0,03112125;0;0;-1,672347;-1,535881;0,186258286237717;2;0,381135791540146
37713;1000776376246983000;63748134137723;1,803085;1,213758;-0,4167962;357,4218;23,80123;0,1591749;0,4031564;0,4031564;0,4031564;0;VALID;-0,01170769;-0,01807334;0,9997681;0;0;0;-0,6709262;-1,035653;VALID;0,00719765;-0,009248982;0,9999313;-0,03112125;0;0;0,4124162;-0,5299489;0,166506096720696;VALID;-0,03060794;-0,02688983;0,9991697;0,03112125;0;0;-1,754614;-1,541582;0,186361849308014;2;0,553995490074158
37714;1000776376256999800;63748134137740;1,80308;1,21384;-0,4167031;357,4162;23,80548;0,1490495;0,4032225;0,4032225;0,4032225;0;VALID;-0,01209699;-0,01810822;0,9997628;0;0;0;-0,6932372;-1,037657;VALID;0,007313677;-0,009391419;0,9999291;-0,03112125;0;0;0,419065;-0,538111;0,167104661464691;VALID;-0,03150219;-0,02681683;0,9991438;0,03112125;0;0;-1,805891;-1,537439;0,185570582747459;2;0,697939574718475
37715;1000776376267011300;63748134137741;1,80308;1,21384;-0,4167031;357,4162;23,80548;0,1490495;0,4032225;0,4032225;0,4032225;0;VALID;-0,01250434;-0,01810429;0,9997579;0;0;0;-0,7165823;-1,037437;VALID;0,007453742;-0,009448874;0,9999276;-0,03112125;0;0;0,4270909;-0,5414037;0,16721685230732;VALID;-0,03245651;-0,02675114;0,9991151;0,03112125;0;0;-1,860614;-1,533719;0,185750365257263;2;0,807640254497528
37717;1000776376287007600;63748134137757;1,803175;1,213834;-0,4170591;357,4104;23,78336;0,1156741;0,4028677;0,4028677;0,4028677;0;VALID;-0,01255351;-0,01835804;0,9997526;0;0;0;-0,7194034;-1,05198;VALID;0,007662672;-0,009604439;0,9999245;-0,03112125;0;0;0,4390633;-0,5503184;0,167524322867393;VALID;-0,0327636;-0,02710272;0,9990956;0,03112125;0;0;-1,878242;-1,553896;0,18443451821804;2;0,977878212928772
37718;1000776376296998100;63748134137788;1,802985;1,21383;-0,4168623;357,4113;23,77419;0,1151647;0,4027217;0,4027217;0,4027217;0;VALID;-0,01289271;-0,0184163;0,9997473;0;0;0;-0,7388437;-1,055324;VALID;0,00782767;-0,009688755;0,9999225;-0,03112125;0;0;0,4485181;-0,5551504;0,167154476046562;VALID;-0,03360658;-0,02713454;0,9990667;0,03112125;0;0;-1,926587;-1,555765;0,186217650771141;2;1
